year,batter,total_runs,balls_faced,total_boundaries,dot_balls,consistency_index
2016,A Mishra,74,110,8,70,1.635184431493891
2016,AG Cremer,23,40,1,21,1.4694160994998617
2016,AM Rahane,623,1243,74,915,1.3919850247749261
2016,AR Patel,38,20,4,7,13.435028842544401
2016,AS Joseph,0,8,0,8,
2016,AT Rayudu,142,210,17,127,1.742626462542047
2016,B Kumar,28,72,4,59,0.7071067811865476
2016,BJ Watling,111,271,18,218,3.645718329207885
2016,CA Pujara,435,970,55,726,1.5518404292276817
2016,CJ Anderson,4,16,1,15,
2016,CJ Chibhabha,96,181,10,131,1.9754591932991794
2016,CR Brathwaite,51,83,5,56,
2016,CR Ervine,21,48,1,33,
2016,CT Mutombodzi,3,9,0,6,0.7071067811865476
2016,D Bishoo,69,154,8,123,1.0842303978193728
2016,DAJ Bracewell,15,48,0,33,
2016,DM Bravo,139,327,18,262,0.9694319474814708
2016,DS Kulkarni,1,2,0,1,
2016,DT Tiripano,13,32,1,24,1.021376461713902
2016,E Chigumbura,119,132,12,70,0.8770604014225699
2016,FY Fazal,55,65,8,40,
2016,G Gambhir,79,109,11,72,
2016,H Masakadza,81,109,12,76,2.1480046672744715
2016,HM Nicholls,25,77,2,62,
2016,I Sharma,0,3,0,3,
2016,IS Sodhi,18,49,3,42,0.795495128834866
2016,J Blackwood,146,224,23,169,0.7270703557665218
2016,JDS Neesham,81,145,12,107,0.9389450701001697
2016,JO Holder,132,216,19,161,1.168874142396081
2016,JS Patel,67,82,12,54,1.528263043209635
2016,KC Brathwaite,200,535,21,429,1.9364916731037085
2016,KK Nair,46,89,6,65,1.016465997955662
2016,KL Rahul,571,783,66,496,1.3575771512529065
2016,KM Jadhav,87,69,12,29,1.1365996124209499
2016,KS Williamson,138,263,16,190,0.9306708217565947
2016,L Ronchi,200,342,27,242,0.9318028444182499
2016,LR Johnson,32,110,3,94,1.616244071283537
2016,LRPL Taylor,89,176,13,133,1.2618508186822055
2016,M Vijay,193,470,25,367,0.7721317884054582
2016,MD Craig,3,10,0,7,
2016,MJ Guptill,171,314,29,241,1.0638026325758885
2016,MJ Henry,33,61,5,48,7.778174593052023
2016,MJ Santner,159,404,25,334,0.889968742572084
2016,MK Pandey,69,66,6,29,0.7932257235227245
2016,ML Cummins,26,63,4,54,0.8356716504931926
2016,MN Samuels,152,347,28,294,1.547052088892244
2016,MN Waller,62,74,5,32,1.5525898096589632
2016,MS Dhoni,49,58,4,26,2.5405316520895416
2016,Mandeep Singh,87,74,12,34,1.205198870638905
2016,Mohammed Shami,32,33,5,20,0.8626621856275073
2016,N Madziva,16,33,0,20,1.1827540335273166
2016,N Wagner,15,73,1,66,0.7071067811865475
2016,PJ Moor,61,67,6,36,0.9866125152860918
2016,R Ashwin,306,707,30,535,1.179280505234123
2016,R Chandrika,53,173,7,148,0.9140648634850492
2016,R Dhawan,1,3,0,2,
2016,R Mutumbami,21,49,3,37,0.7833494518006403
2016,RA Jadeja,151,194,18,124,1.0420982467855489
2016,RG Sharma,302,476,36,320,1.7580885077890787
2016,RL Chase,190,430,19,332,0.8666588243600633
2016,S Dhawan,156,293,19,220,1.2871918058696767
2016,SO Dowrich,168,296,21,221,1.910695343017833
2016,ST Gabriel,32,54,5,42,2.365508067054633
2016,Sikandar Raza,60,116,5,74,1.5362746694975673
2016,T Maruma,40,43,4,21,4.714045207910317
2016,T Mupariwa,1,9,0,8,
2016,T Muzarabani,6,13,1,10,0.7559289460184544
2016,TA Boult,16,87,2,80,1.281025230440697
2016,TG Southee,55,46,9,25,
2016,TL Chatara,6,16,0,11,2.1213203435596424
2016,TWM Latham,273,530,29,367,6.663162634864147
2016,UT Yadav,28,41,6,31,1.979898987322333
2016,V Kohli,645,1019,73,649,1.0591966006590463
2016,V Sibanda,124,186,15,121,1.5385041676549418
2016,WP Saha,317,653,36,495,1.2567891705359175
2017,AB de Villiers,16,13,1,2,
2017,AD Mathews,52,45,6,15,
2017,AL Phehlukwayo,4,11,0,7,
2017,Ahmed Shehzad,12,22,1,13,
2017,Azhar Ali,109,143,13,82,8.56384879437041
2017,B Kumar,1,8,0,7,
2017,BKG Mendis,89,94,12,46,
2017,Babar Azam,54,67,5,33,1.0048359522124624
2017,CH Morris,4,8,0,5,
2017,DA Miller,1,3,0,2,
2017,DAS Gunaratne,34,21,4,7,
2017,F du Plessis,36,53,1,24,
2017,Fakhar Zaman,114,111,15,53,
2017,HH Pandya,105,55,14,16,0.9741030949849092
2017,HM Amla,35,56,4,35,
2017,Hasan Ali,0,2,0,2,
2017,Imad Wasim,25,22,2,6,0.7071067811865475
2017,Imran Tahir,1,8,0,7,
2017,JJ Bumrah,1,9,0,8,
2017,JP Duminy,20,42,1,25,
2017,K Rabada,5,8,1,6,
2017,KM Jadhav,34,27,6,14,1.5026019100214134
2017,M Morkel,0,1,0,1,
2017,MD Gunathilaka,76,73,9,31,
2017,MDKJ Perera,47,46,5,16,
2017,MS Dhoni,67,70,9,37,0.8029856667711641
2017,Mahmudullah,21,25,2,12,
2017,Mashrafe Mortaza,30,26,5,12,
2017,Mohammad Amir,9,17,0,10,
2017,Mohammad Hafeez,90,81,9,30,2.6516504294495533
2017,Mosaddek Hossain,15,27,3,21,
2017,Mushfiqur Rahim,61,86,4,42,
2017,N Dickwella,7,19,0,13,
2017,Q de Kock,53,74,4,37,
2017,R Ashwin,1,4,0,3,
2017,RA Jadeja,15,26,0,12,
2017,RG Sharma,304,350,36,182,1.1513375814302862
2017,S Dhawan,338,336,48,168,1.7394625570617257
2017,Sabbir Rahman,19,21,4,15,
2017,Sarfraz Ahmed,15,18,2,10,
2017,Shadab Khan,14,16,2,10,
2017,Shakib Al Hasan,15,23,1,11,
2017,Shoaib Malik,27,25,4,14,6.3639610306789285
2017,Soumya Sarkar,0,2,0,2,
2017,Tamim Iqbal,70,86,8,45,
2017,Taskin Ahmed,10,14,1,8,
2017,V Kohli,258,262,30,119,1.1351493734668898
2017,Yuvraj Singh,105,106,15,53,1.3617619485048054
