year,batter,total_runs,balls_faced,total_boundaries,dot_balls,sum_runs_sq,matches,mean_runs,consistency_index,strike_rate,boundary_percent,dot_ball_percent,scouting_score,player_role
2016,V Kohli,1589,2382,174,1456,264641,17,93.47058823529412,1.130974890924269,66.70864819479429,7.304785894206549,61.12510495382032,644.516371300603,Struggling Batter
2016,KL Rahul,914,1224,108,767,106076,13,70.3076923076923,1.239680207564627,74.67320261437908,8.823529411764707,62.66339869281046,376.2809425774606,Struggling Batter
2016,CA Pujara,836,1727,110,1281,93222,10,83.6,1.7307190375575257,48.40764331210191,6.369426751592357,74.17486971627099,338.2840708486233,Struggling Batter
2017,V Kohli,783,876,91,447,100335,15,52.2,0.8290770921144996,89.38356164383562,10.388127853881278,51.02739726027398,328.2174135919389,Balanced Player
2016,AM Rahane,807,1597,93,1157,87095,16,50.4375,0.9366822447827406,50.53224796493425,5.823418910457107,72.44834063869756,327.0136357601651,Struggling Batter
2016,R Ashwin,612,1271,68,928,53802,10,61.2,1.5136463598861993,48.151062155782846,5.350118017309206,73.01337529504328,248.5016277770913,Struggling Batter
2016,M Vijay,550,1292,67,1009,65686,9,61.111111111111114,1.0236673567006662,42.56965944272446,5.185758513931889,78.09597523219814,221.9462195394516,Struggling Batter
2017,KL Rahul,530,833,70,562,48110,11,48.18181818181818,1.0636010677333283,63.62545018007203,8.403361344537815,67.46698679471788,219.87178383899686,Struggling Batter
2017,CA Pujara,542,1285,54,956,76072,5,108.4,1.8418335120047973,42.17898832684825,4.202334630350195,74.39688715953308,219.00494257788733,Struggling Batter
2016,RG Sharma,483,645,59,408,32321,11,43.90909090909091,1.3814555240276147,74.88372093023256,9.147286821705427,63.25581395348837,203.9569112598443,Struggling Batter
2017,Yuvraj Singh,358,343,53,174,29510,10,35.8,0.87620963632222,104.3731778425656,15.451895043731778,50.72886297376093,162.26737020714785,Balanced Player
2016,RA Jadeja,375,553,44,363,23095,9,41.666666666666664,1.4462711135429647,67.8119349005425,7.956600361663653,65.64195298372513,158.87876597677732,Struggling Batter
2016,KK Nair,366,492,45,297,93564,5,73.2,0.633426588520779,74.39024390243902,9.146341463414634,60.36585365853659,157.19741702502125,Struggling Batter
2017,S Dhawan,350,362,50,188,29012,7,50.0,1.2329448016627451,96.68508287292818,13.812154696132598,51.93370165745856,157.1526663083989,Balanced Player
2017,MS Dhoni,329,313,38,138,27059,8,41.125,1.0000461964179543,105.11182108626198,12.140575079872203,44.08945686900959,150.84154278560948,Balanced Player
2016,WP Saha,366,768,41,584,32238,7,52.285714285714285,1.2085725852498344,47.65625,5.338541666666666,76.04166666666666,149.63650618371665,Struggling Batter
2017,RG Sharma,304,350,36,182,29638,5,60.8,1.2872345485641599,86.85714285714286,10.285714285714285,52.0,136.08601833828428,Balanced Player
2017,KM Jadhav,266,192,39,64,23690,5,53.2,1.2180069402975466,138.54166666666669,20.3125,33.33333333333333,135.08110138805952,Aggressive Batter
2017,AM Rahane,309,593,40,430,25075,6,51.5,1.31795190223809,52.1079258010118,6.745362563237774,72.51264755480608,128.38298329781693,Struggling Batter
2017,HH Pandya,242,171,28,57,11560,9,26.88888888888889,1.1348128296442859,141.52046783625732,16.374269005847953,33.33333333333333,125.27257660101661,Balanced Player
2016,MS Dhoni,263,336,25,182,12455,8,32.875,1.5066500658496695,78.27380952380952,7.440476190476191,54.166666666666664,117.22752048936042,Balanced Player
2017,WP Saha,280,556,24,399,26352,5,56.0,1.2121325700253838,50.35971223021583,4.316546762589928,71.76258992805755,116.00141931976047,Struggling Batter
2017,RA Jadeja,257,347,29,211,13461,9,28.555555555555557,1.094856809704724,74.06340057636888,8.357348703170029,60.80691642651297,113.42242957519744,Struggling Batter
2017,M Vijay,228,471,28,349,20454,4,57.0,1.3200599708456897,48.40764331210191,5.9447983014862,74.09766454352442,94.92473386253432,Struggling Batter
2016,J Yadav,222,492,27,372,17686,4,55.5,1.5154377994948953,45.1219512195122,5.487804878048781,75.60975609756098,91.6640631696551,Struggling Batter
